Order Date,Region,Sales,Profit,Month-Year
2015-04-04,West,77.61,16.79,2015-04
2015-04-09,West,99.94,-55.84,2015-04
2015-01-12,West,59.85,41.2965,2015-01
2015-01-12,West,1708.73,1179.0237,2015-01
2015-04-09,South,94.97,105.678,2015-04
2015-01-27,Central,10.23,-37.39,2015-01
2015-05-25,Central,217.23,149.8887,2015-05
2015-05-16,West,101.74,3.04,2015-05
2015-05-16,West,84.52,2.706,2015-05
2015-06-02,East,312.59,91.956,2015-06
2015-06-02,East,64.4,-2.544,2015-06
2015-01-15,East,14.65,2.4852,2015-01
2015-03-16,East,453.62,-634.7341,2015-03
2015-03-12,Central,193.59,133.5771,2015-03
2015-04-23,Central,929.57,251.4084,2015-04
2015-01-22,South,62.46,-20.258,2015-01
2015-04-20,South,28.11,13.896,2015-04
2015-01-15,South,5.5,-172.718,2015-01
2015-04-19,South,667.84,-40.684,2015-04
2015-03-29,South,292.23,97.86,2015-03
2015-06-18,South,772.56,360.24,2015-06
2015-05-14,West,1050.08,713.88,2015-05
2015-01-25,West,33.82,-18.64,2015-01
2015-01-02,West,715.55,-111.4,2015-01
2015-01-02,West,45.63,-77.03,2015-01
2015-01-11,South,1839.91,28.5141,2015-01
2015-01-03,South,130.62,280.27458,2015-01
2015-01-03,South,6945.16,-112.4263,2015-01
2015-01-03,South,30.94,24.924,2015-01
2015-04-13,East,3.42,-2.9095,2015-04
2015-02-21,West,901.81,-76.89,2015-02
2015-05-22,West,186.59,-35.75,2015-05
2015-02-21,East,250.5,-76.89,2015-02
2015-05-22,Central,221.24,152.6556,2015-05
2015-05-22,Central,46.65,7.15,2015-05
2015-02-12,Central,164.71,113.6499,2015-02
2015-02-12,Central,79.68,-35.4744,2015-02
2015-04-09,Central,53.26,14.467,2015-04
2015-04-09,Central,203.49,-99.9864,2015-04
2015-04-09,Central,2356.01,1348.59672,2015-04
2015-01-03,West,224.12,-560.81418,2015-01
2015-03-30,West,140.3,-66.0445,2015-03
2015-01-10,West,28.2,-105.6852,2015-01
2015-03-30,West,71.55,15.66,2015-03
2015-04-02,Central,3108.98,1167.158,2015-04
2015-04-02,Central,12599.55,1014.92,2015-04
2015-04-27,Central,34.65,1.73,2015-04
2015-01-16,Central,85.79,-133.7,2015-01
2015-01-17,East,17.61,-66.62,2015-01
2015-06-02,East,27.3,-21.48775,2015-06
2015-06-02,East,64.75,44.6775,2015-06
2015-06-02,East,62.98,23.595,2015-06
2015-01-06,East,21.2,7.59,2015-01
2015-01-06,East,173.32,-107.987,2015-01
2015-06-02,East,42.29,-36.25,2015-06
2015-06-09,West,730.37,-102.5121,2015-06
2015-04-02,South,450.49,36.354,2015-04
2015-02-20,Central,58.8,-243.2365,2015-02
2015-02-20,Central,120.47,-53.62,2015-02
2015-02-05,Central,1599.96,1103.9724,2015-02
2015-03-27,Central,197.59,136.3371,2015-03
2015-03-27,Central,33.04,-12.46,2015-03
2015-04-28,Central,27.45,-175.86,2015-04
2015-02-22,West,4775.11,3294.8259,2015-02
2015-04-20,West,57.41,35.09,2015-04
2015-04-20,West,2809.87,785.63,2015-04
2015-05-26,West,79.93,-256.519,2015-05
2015-05-26,West,873.18,398.358,2015-05
2015-02-23,South,798.69,-101.192,2015-02
2015-02-23,South,792.11,-3.332,2015-02
2015-03-21,South,28.73,-145.082,2015-03
2015-05-28,Central,109.74,1.108,2015-05
2015-05-28,Central,1543.55,1061.379,2015-05
2015-06-10,West,1332.82,-53.745,2015-06
2015-01-31,East,34.64,0.684,2015-01
2015-01-02,South,52.47,-127.008,2015-01
2015-01-19,West,26.38,5.7532,2015-01
2015-01-21,East,304.34,-2177.986096,2015-01
2015-05-18,Central,1300.81,326.25,2015-05
2015-05-15,Central,67.86,8.932,2015-05
2015-05-15,Central,747.28,229.638,2015-05
2015-04-07,West,18.67,-22.48,2015-04
2015-04-07,West,210.77,78.98,2015-04
2015-06-05,West,209.12,144.2928,2015-06
2015-06-05,West,1287.17,888.1473,2015-06
2015-06-05,West,46.17,-46.005,2015-06
2015-03-30,South,899.81,128.0253,2015-03
2015-04-07,South,68.46,-29.8984,2015-04
2015-04-07,South,885.23,52.9166,2015-04
2015-06-05,South,836.47,72.1858,2015-06
2015-06-05,South,189.83,-122.3733,2015-06
2015-01-24,East,61.52,-51.75,2015-01
2015-05-21,East,8.3,-1.0,2015-05
2015-05-21,East,416.95,-221.254,2015-05
2015-06-17,East,18.71,-11.57,2015-06
2015-06-17,Central,40.95,-61.87,2015-06
2015-06-17,Central,1155.73,-530.24,2015-06
2015-01-16,Central,192.3,132.687,2015-01
2015-01-16,Central,748.1,496.89,2015-01
2015-03-25,West,102.54,-135.16,2015-03
2015-02-14,East,70.16,15.8952,2015-02
2015-02-14,East,1240.57,855.9933,2015-02
2015-02-14,West,280.62,10.74,2015-02
2015-03-20,Central,3206.94,-1759.58,2015-03
2015-03-20,East,43.08,-72.23,2015-03
2015-06-17,West,66.55,-27.16,2015-06
2015-06-17,West,103.49,-52.344,2015-06
2015-06-17,West,192.18,-119.936,2015-06
2015-04-04,East,89.76,9.9268,2015-04
2015-06-09,Central,28.46,-29.172,2015-06
2015-04-14,East,1170.21,-715.778206,2015-04
2015-04-14,East,243.32,-22.82,2015-04
2015-05-04,West,3825.32,2639.4708,2015-05
2015-05-04,West,8.53,-5.2,2015-05
2015-03-17,East,40.3,-83.65,2015-03
2015-03-17,East,111.88,24.39,2015-03
2015-05-04,South,73.97,-4.6683,2015-05
2015-01-31,East,111.86,11.65095,2015-01
2015-05-04,East,18.49,0.702,2015-05
2015-06-09,South,212.89,5.8625,2015-06
2015-01-02,South,5555.6,1916.6757,2015-01
2015-06-09,East,55.54,10.5,2015-06
2015-01-02,East,1440.34,993.8346,2015-01
2015-05-14,West,84.76,-165.45,2015-05
2015-05-14,West,104.84,-141.12,2015-05
2015-05-24,West,1714.93,1074.44,2015-05
2015-01-09,East,107.95,-627.82192,2015-01
2015-01-17,East,1967.98,411.5172,2015-01
2015-04-11,West,394.1,211.232,2015-04
2015-05-27,East,266.39,49.788,2015-05
2015-05-27,East,51.82,-132.6295,2015-05
2015-03-14,Central,9539.6,-163.63,2015-03
2015-03-14,Central,109.86,-63.87,2015-03
2015-03-14,Central,1426.51,-175.175,2015-03
2015-03-14,South,2331.9,-224.9478,2015-03
2015-03-14,South,27.47,196.8,2015-03
2015-04-17,Central,460.87,250.0376,2015-04
2015-05-01,Central,394.51,-539.59,2015-05
2015-03-19,East,38.65,-82.823,2015-03
2015-03-19,East,279.83,107.082,2015-03
2015-06-12,Central,126.9,-27.28375,2015-06
2015-01-03,Central,22.82,-51.5592,2015-01
2015-01-03,Central,188.66,-263.56572,2015-01
2015-02-06,Central,1845.23,1273.2087,2015-02
2015-03-05,Central,37.16,-159.68,2015-03
2015-03-05,Central,43.65,27.91,2015-03
2015-02-15,East,31.44,-81.77,2015-02
2015-06-18,South,64.59,-19.208,2015-06
2015-06-18,South,461.94,7.44,2015-06
2015-02-02,East,1216.32,-372.485971,2015-02
2015-05-23,East,1989.32,1372.6308,2015-05
2015-05-21,East,72.76,50.2044,2015-05
2015-05-02,Central,400.47,236.2371,2015-05
2015-05-04,West,1531.31,943.0,2015-05
2015-02-06,East,919.09,-2531.4825,2015-02
2015-01-15,West,236.46,163.1574,2015-01
2015-01-15,West,73.82,-302.225,2015-01
2015-03-03,West,243.11,90.62,2015-03
2015-06-22,East,952.26,427.1184,2015-06
2015-05-25,Central,355.92,86.438,2015-05
2015-04-11,Central,101.71,-4.46,2015-04
2015-06-23,Central,1766.68,-512.872,2015-06
2015-06-23,Central,29.02,-3.784,2015-06
2015-06-25,Central,159.51,-82.904,2015-06
2015-06-25,Central,1838.85,1268.8065,2015-06
2015-04-10,West,35.48,-53.2962,2015-04
2015-05-27,West,434.31,299.6739,2015-05
2015-01-05,West,19.86,-15.456,2015-01
2015-01-05,West,23.26,16.0494,2015-01
2015-05-27,West,51.83,-235.895,2015-05
2015-05-08,West,32.4,-41.32,2015-05
2015-05-23,East,492.9,7.9,2015-05
2015-01-14,West,1081.54,521.69,2015-01
2015-01-11,East,1132.84,496.7968,2015-01
2015-01-11,East,143.63,-556.8096,2015-01
2015-01-11,East,73.04,-27.7388,2015-01
2015-01-11,East,33.35,-128.6872,2015-01
2015-01-11,East,60.24,23.2028,2015-01
2015-02-08,South,718.03,-568.5351,2015-02
2015-02-08,East,179.51,-427.47,2015-02
2015-01-27,Central,73.18,-18.19,2015-01
2015-04-23,Central,8.82,-24.05754,2015-04
2015-04-23,Central,5976.09,2583.56148,2015-04
2015-03-18,West,8.77,6.0513,2015-03
2015-05-18,East,20.87,-67.0565,2015-05
2015-05-18,East,25.7,-7.94,2015-05
2015-05-18,East,229.57,122.292,2015-05
2015-05-15,East,66.7,-2.12,2015-05
2015-02-10,East,217.0,-69.07,2015-02
2015-06-20,East,31670.6,2028.12,2015-06
2015-06-20,East,239.82,-63.51,2015-06
2015-01-20,West,66.71,-92.05,2015-01
2015-01-20,West,87.16,6.11,2015-01
2015-05-15,West,101.26,-36.63,2015-05
2015-05-15,West,17.4,-2.12,2015-05
2015-02-10,West,52.93,-35.9164,2015-02
2015-06-20,West,8637.44,3042.18,2015-06
2015-06-20,West,59.95,-31.755,2015-06
2015-05-14,South,5062.49,171.8388,2015-05
2015-04-18,South,646.97,32.9409,2015-04
2015-04-18,South,946.29,131.334,2015-04
2015-02-23,South,123.0,-282.0818,2015-02
2015-04-18,South,554.08,140.1354,2015-04
2015-01-13,West,152.54,105.2526,2015-01
2015-02-01,West,89.79,-29.0927,2015-02
2015-06-05,Central,199.76,113.415,2015-06
2015-06-22,West,480.37,26.1,2015-06
2015-06-22,West,5.76,-2.58,2015-06
2015-06-22,West,3112.13,2800.12,2015-06
2015-01-20,South,2589.01,363.552,2015-01
2015-01-20,South,1893.93,-11.536,2015-01
2015-05-25,West,211.13,-6.612,2015-05
2015-01-17,West,25.39,-15.5595,2015-01
2015-01-17,West,87.27,-108.19,2015-01
2015-04-21,South,403.25,46.488,2015-04
2015-05-14,Central,414.49,159.5297,2015-05
2015-05-14,Central,469.69,15.3714,2015-05
2015-05-23,Central,8585.67,5924.1123,2015-05
2015-06-14,East,57.37,39.5853,2015-06
2015-01-20,West,66.32,-66.378,2015-01
2015-01-30,Central,18.75,-33.34,2015-01
2015-01-30,Central,188.51,-201.276,2015-01
2015-06-12,Central,6720.88,4637.4072,2015-06
2015-06-12,Central,102.21,-239.5415,2015-06
2015-01-30,Central,31.18,21.5142,2015-01
2015-01-28,West,267.53,34.068,2015-01
2015-02-21,West,43046.2,4073.25,2015-02
2015-04-15,West,330.21,-179.592,2015-04
2015-06-18,West,6831.37,-500.38,2015-06
2015-02-21,West,10331.09,6028.41,2015-02
2015-04-15,West,83.86,-161.6328,2015-04
2015-06-18,West,1707.84,-250.19,2015-06
2015-01-28,West,66.88,46.1472,2015-01
2015-01-28,West,274.91,-1116.3348,2015-01
2015-03-04,South,1128.74,1141.794,2015-03
2015-04-15,South,805.99,-99.568,2015-04
2015-04-01,South,1066.54,224.8506,2015-04
2015-01-13,West,65.74,-122.133,2015-01
2015-03-13,Central,5.84,-12.1555,2015-03
2015-02-26,Central,405.57,-269.0844,2015-02
2015-01-13,West,32.6,-566.0,2015-01
2015-05-13,East,515.88,293.14,2015-05
2015-05-13,East,25.06,-6.61,2015-05
2015-05-13,East,578.24,-57.541,2015-05
2015-01-21,East,116.93,-266.22,2015-01
2015-05-13,East,170.45,-67.59,2015-05
2015-01-17,Central,285.87,-239.8656,2015-01
2015-01-17,Central,20.37,-53.444,2015-01
2015-03-15,Central,17.44,-22.12,2015-03
2015-06-19,Central,702.68,484.8492,2015-06
2015-06-19,Central,67.24,18.0,2015-06
2015-02-15,Central,24.27,15.2745,2015-02
2015-02-15,Central,38.53,26.5857,2015-02
2015-02-15,Central,4910.72,-575.352,2015-02
2015-06-10,Central,116.8,-51.635,2015-06
2015-03-13,East,32.39,-75.44,2015-03
2015-02-03,West,227.79,-120.934,2015-02
2015-03-14,West,5679.59,-1763.7477,2015-03
2015-01-24,West,102.32,-15.0995,2015-01
2015-03-14,East,1494.63,-1763.7477,2015-03
2015-04-29,West,46.23,23.5428,2015-04
2015-04-29,West,279.28,-276.1128,2015-04
2015-03-24,West,70.06,-78.13,2015-03
2015-04-29,West,81.82,-64.67094,2015-04
2015-04-29,West,13.16,-11.1132,2015-04
2015-01-07,Central,205.98,107.02,2015-01
2015-02-26,East,31.46,18.42,2015-02
2015-02-26,East,948.97,349.47,2015-02
2015-04-01,East,136.99,-226.3464,2015-04
2015-04-01,East,99.36,-281.17584,2015-04
2015-04-21,East,9580.0,6610.2,2015-04
2015-04-05,Central,28.32,-103.7124,2015-04
2015-04-05,Central,2309.49,-124.2864,2015-04
2015-03-20,West,1232.01,-229.68,2015-03
2015-04-30,West,506.38,288.09,2015-04
2015-04-30,West,1042.72,719.4768,2015-04
2015-02-14,West,1769.91,1192.04,2015-02
2015-02-14,West,6686.34,1192.04,2015-02
2015-03-20,West,4620.05,-229.68,2015-03
2015-04-30,West,1912.98,288.09,2015-04
2015-04-30,West,4170.87,1030.509,2015-04
2015-06-17,Central,818.81,261.444,2015-06
2015-06-21,Central,34.11,-10.36,2015-06
2015-05-29,Central,154.71,106.7499,2015-05
2015-01-07,West,192.33,-246.92616,2015-01
2015-02-15,West,6901.25,4233.2588,2015-02
2015-02-15,West,148.94,102.7686,2015-02
2015-02-15,West,200.68,-36.671544,2015-02
2015-04-16,West,29.92,20.6448,2015-04
2015-01-19,East,19.73,-24.2048,2015-01
2015-01-19,East,615.54,-126.05778,2015-01
2015-05-29,East,261.34,10.802,2015-05
2015-01-16,South,202.41,-678.496,2015-01
2015-04-18,South,793.39,90.762,2015-04
2015-04-22,South,54.04,-352.814,2015-04
2015-01-16,Central,832.14,70.028,2015-01
2015-04-22,Central,221.06,-124.2805,2015-04
2015-03-20,Central,58.67,40.4823,2015-03
2015-03-20,Central,101.06,32.86,2015-03
2015-03-05,South,1429.81,-187.222,2015-03
2015-02-05,Central,34.97,9.59,2015-02
2015-02-05,Central,308.86,-655.424,2015-02
2015-01-02,Central,485.01,-7.58,2015-01
2015-04-22,South,81.14,-109.704,2015-04
2015-03-04,West,10.11,-19.93,2015-03
2015-03-04,West,6621.17,4568.6073,2015-03
2015-03-04,West,253.78,-258.225,2015-03
2015-04-07,Central,69.96,38.06,2015-04
2015-05-16,Central,2716.09,-207.28,2015-05
2015-03-06,Central,21.34,-12.719,2015-03
2015-02-04,Central,17.42,-51.42,2015-02
2015-03-21,West,49.81,-88.6,2015-03
2015-03-25,West,3722.41,2568.4629,2015-03
2015-03-08,West,95.1,9.486,2015-03
2015-03-08,West,734.74,-263.65,2015-03
2015-03-08,West,1882.87,890.181,2015-03
2015-05-05,West,8834.58,6095.8602,2015-05
2015-03-27,Central,78.54,-82.83,2015-03
2015-03-27,Central,605.1,25.04,2015-03
2015-04-07,Central,355.84,-580.32,2015-04
2015-03-27,Central,1346.32,928.9608,2015-03
2015-02-07,Central,292.18,-131.6172,2015-02
2015-03-27,West,322.03,-82.83,2015-03
2015-03-27,West,2470.84,25.04,2015-03
2015-03-27,West,5250.66,930.987,2015-03
2015-04-07,West,1423.35,-580.32,2015-04
2015-02-07,West,1154.12,-253.11,2015-02
2015-04-23,West,32.5,-16.67,2015-04
2015-06-06,West,193.95,40.2,2015-06
2015-06-06,West,158.8,3.21,2015-06
2015-06-30,West,274.26,38.7,2015-06
2015-06-30,West,83.16,-21.91,2015-06
2015-06-30,West,261.93,-119.77,2015-06
2015-01-29,West,210.1,-168.72,2015-01
2015-01-29,West,6499.87,-439.62,2015-01
2015-05-20,West,351.56,15.42,2015-05
2015-05-20,West,87.89,33.924,2015-05
2015-04-23,West,6.5,-16.67,2015-04
2015-06-30,West,68.56,46.44,2015-06
2015-06-30,West,20.79,-17.528,2015-06
2015-06-30,West,67.91,-95.816,2015-06
2015-06-06,East,40.37,3.852,2015-06
2015-02-28,West,122.25,71.7356,2015-02
2015-02-28,West,206.09,-79.3208,2015-02
2015-06-24,Central,66.9,24.096,2015-06
2015-06-24,Central,43.13,6.972,2015-06
2015-04-11,Central,11.21,-24.246,2015-04
2015-03-15,East,100.38,-605.374,2015-03
2015-03-15,East,66.32,-99.55,2015-03
2015-04-26,East,1178.32,-801.1548,2015-04
2015-06-15,East,2016.32,797.856,2015-06
2015-06-07,East,612.25,422.4525,2015-06
2015-06-15,East,313.63,-178.216,2015-06
2015-06-15,East,397.17,-26.656,2015-06
2015-01-28,West,63.48,-54.622,2015-01
2015-01-28,West,47.64,-126.81418,2015-01
2015-01-17,West,1545.58,1400.1,2015-01
2015-05-25,West,2104.99,916.6806,2015-05
2015-01-17,West,353.1,67.6,2015-01
2015-01-12,South,257.52,-224.644,2015-01
2015-02-27,South,411.64,14.76,2015-02
2015-03-11,West,17.59,10.85,2015-03
2015-03-11,West,141.54,97.6626,2015-03
2015-06-04,West,905.4,-453.2,2015-06
2015-04-12,West,243.86,-207.679788,2015-04
2015-02-11,West,39.97,-7.5244,2015-02
2015-05-29,Central,92.96,-92.961,2015-05
2015-04-27,West,1362.2,613.89576,2015-04
2015-01-30,Central,336.64,232.2816,2015-01
2015-03-19,West,429.33,-45.07,2015-03
2015-03-19,West,44.66,-8.53,2015-03
2015-03-19,West,1619.95,285.95,2015-03
2015-01-14,East,56.44,-209.25,2015-01
2015-01-14,East,56.73,-9.1636,2015-01
2015-05-17,East,64.41,12.706,2015-05
2015-05-17,East,344.57,7.71516,2015-05
2015-04-29,West,279.01,192.5169,2015-04
2015-01-06,East,614.99,-134.912,2015-01
2015-04-06,West,76.23,-5.05,2015-04
2015-06-21,Central,99.92,-204.16,2015-06
2015-03-11,Central,79.4,-46.115,2015-03
2015-06-19,Central,15.49,-20.104,2015-06
2015-06-01,West,18.59,-3.496,2015-06
2015-06-01,West,834.08,-717.072,2015-06
2015-03-06,West,50.88,-62.23,2015-03
2015-01-06,South,958.46,131.382,2015-01
2015-01-06,South,368.84,-89.292,2015-01
2015-01-06,South,30.86,-211.036,2015-01
2015-03-28,West,568.25,-13.28,2015-03
2015-03-28,West,126.66,-48.68,2015-03
2015-04-29,South,93.82,-184.548,2015-04
2015-01-09,South,8332.91,1220.03784,2015-01
2015-05-21,West,5.9,-2.87,2015-05
2015-01-12,South,80.23,4.3809,2015-01
2015-01-12,South,2044.9,-100.744,2015-01
2015-05-21,Central,53.3,3.384,2015-05
2015-05-25,Central,21.93,0.346,2015-05
2015-02-22,South,28.46,-17.654,2015-02
2015-01-24,West,89.91,-13.826,2015-01
2015-01-09,West,138.51,-203.67,2015-01
2015-03-07,West,41.96,19.57,2015-03
2015-02-25,West,300.63,98.12,2015-02
2015-03-07,West,240.46,107.11,2015-03
2015-03-07,West,74.08,-216.154,2015-03
2015-04-30,West,5.28,-6.6096,2015-04
2015-03-16,West,50.83,-89.217,2015-03
2015-04-30,East,39.26,1.2236,2015-04
2015-04-30,East,606.51,4.3148,2015-04
2015-04-30,East,64.89,-125.83296,2015-04
2015-05-27,Central,267.2,122.21,2015-05
2015-02-26,Central,86.79,-11.1332,2015-02
2015-02-25,Central,292.37,201.7353,2015-02
2015-02-25,Central,682.79,-684.78,2015-02
2015-03-06,Central,125.77,-237.47,2015-03
2015-03-06,Central,3918.98,-2946.051,2015-03
2015-03-15,West,31.24,21.5556,2015-03
2015-05-20,West,74.77,-239.315,2015-05
2015-05-20,West,127.81,-33.31,2015-05
2015-02-21,West,78.59,-74.4796,2015-02
2015-02-21,West,497.11,-232.22056,2015-02
2015-03-25,West,27.02,18.6438,2015-03
2015-03-25,West,27.67,-31.24,2015-03
2015-05-24,Central,1033.56,55.888,2015-05
2015-01-05,Central,19.97,1.3224,2015-01
2015-01-05,Central,660.03,455.4207,2015-01
2015-01-10,East,199.12,29.332,2015-01
2015-01-10,East,63.14,-86.0,2015-01
2015-02-02,East,44.85,-0.49,2015-02
2015-01-10,Central,49.78,34.3482,2015-01
2015-01-10,Central,16.62,-66.65,2015-01
2015-06-20,Central,517.68,35.955,2015-06
2015-01-12,East,573.31,-173.0952,2015-01
2015-01-12,East,140.23,-96.16,2015-01
2015-01-27,East,594.44,263.4,2015-01
2015-01-27,East,228.5,37.31,2015-01
2015-01-12,East,191.1,-173.0952,2015-01
2015-01-12,East,28.05,-96.16,2015-01
2015-01-27,East,151.77,104.7213,2015-01
2015-01-27,East,57.13,37.31,2015-01
2015-03-12,East,116.92,80.6748,2015-03
2015-02-26,South,151.6,114.3165,2015-02
2015-06-17,South,31.73,1107.408,2015-06
2015-05-14,South,85.26,-149.212,2015-05
2015-01-31,East,16.6,-21.018,2015-01
2015-01-31,East,2285.41,-655.529875,2015-01
2015-04-04,East,513.52,354.3288,2015-04
2015-01-04,Central,346.52,-489.4156,2015-01
2015-01-04,Central,499.31,35.31,2015-01
2015-04-12,West,73.1,6.11,2015-04
2015-05-20,West,2115.06,187.412,2015-05
2015-04-12,West,47.95,-6.34,2015-04
2015-03-27,West,134.38,92.7222,2015-03
2015-04-12,West,76.77,-160.2755,2015-04
2015-05-20,West,782.0,396.972,2015-05
2015-04-06,East,15.73,-7.04,2015-04
2015-04-06,East,1719.07,538.52,2015-04
2015-02-17,West,8.41,-4.14,2015-02
2015-06-27,West,104.95,-31.885,2015-06
2015-06-27,West,166.59,-95.2105,2015-06
2015-04-14,East,396.19,-193.58,2015-04
2015-03-06,West,98.7,-4.301,2015-03
2015-03-01,East,1782.44,-1570.32,2015-03
2015-01-11,East,72.11,27.23,2015-01
2015-01-02,West,124.81,-19.0992,2015-01
2015-03-22,West,881.32,373.67,2015-03
2015-01-02,Central,41.6,-14.80188,2015-01
2015-03-22,Central,1497.22,-2561.3235,2015-03
2015-03-22,Central,244.81,168.9189,2015-03
2015-03-22,Central,4.55,-6.2,2015-03
2015-02-12,Central,27.63,19.0647,2015-02
2015-02-12,Central,31.21,10.56,2015-02
2015-03-22,Central,1214.03,837.6807,2015-03
2015-02-04,West,3.51,-4.2,2015-02
2015-02-24,West,120.12,-44.1636,2015-02
2015-02-04,Central,7.01,-4.2,2015-02
2015-04-20,South,1452.18,-102.662,2015-04
2015-02-28,West,619.38,-116.584,2015-02
2015-02-28,West,18.69,12.8961,2015-02
2015-04-04,East,8.8,-21.3192,2015-04
2015-02-05,East,477.2,93.8468,2015-02
2015-04-27,South,2848.38,17.772,2015-04
2015-02-19,West,38.58,-104.57,2015-02
2015-03-14,East,810.47,-969.048366,2015-03
2015-05-10,East,72.83,4.032,2015-05
2015-01-24,East,63.66,-23.6344,2015-01
2015-03-14,East,127.22,-71.83,2015-03
2015-03-14,East,432.44,-0.74,2015-03
2015-03-04,Central,12.18,-3.88,2015-03
2015-02-27,Central,950.43,551.0928,2015-02
2015-05-25,East,25.37,17.5053,2015-05
2015-06-19,East,6963.67,818.546175,2015-06
2015-03-01,South,160.17,-17.15,2015-03
2015-03-01,South,7.47,-29.54,2015-03
2015-03-01,South,370.81,-329.784,2015-03
2015-03-05,South,119.99,-2.1,2015-03
2015-03-18,South,650.7,829.467,2015-03
2015-06-12,South,11.41,111.222,2015-06
2015-04-08,South,680.39,22.866,2015-04
2015-04-08,South,75.52,115.728,2015-04
2015-03-07,Central,2354.54,909.36,2015-03
2015-02-06,Central,79.06,-76.4244,2015-02
2015-02-06,Central,65.14,8.732,2015-02
2015-05-15,East,640.71,442.0899,2015-05
2015-05-15,East,659.6,455.124,2015-05
2015-02-07,East,1137.6,624.40164,2015-02
2015-05-29,East,151.55,18.922,2015-05
2015-05-29,East,57.03,39.3507,2015-05
2015-03-12,East,347.23,-229.87,2015-03
2015-03-12,East,478.23,329.9787,2015-03
2015-03-29,East,93.82,30.49,2015-03
2015-05-08,East,1670.33,1152.5277,2015-05
2015-03-13,East,100.59,-604.406,2015-03
2015-03-13,East,598.38,293.66,2015-03
2015-06-16,South,39.36,-403.1874,2015-06
2015-04-17,West,322.77,-13.77,2015-04
2015-04-17,West,65.09,44.9121,2015-04
2015-05-16,West,98.96,9.33,2015-05
2015-06-14,West,13546.94,2593.14,2015-06
2015-06-14,West,6401.65,1162.76,2015-06
2015-02-27,West,617.4,-76.94,2015-02
2015-02-27,East,157.78,-40.0088,2015-02
2015-05-25,West,26.31,-51.704,2015-05
2015-05-25,West,209.78,144.7482,2015-05
2015-05-25,West,17.83,-112.189,2015-05
2015-03-24,South,2527.79,-445.9717763,2015-03
2015-05-30,South,121.87,4.1674,2015-05
